gene,ctrl_1,ctrl_2,ctrl_3,lps_1,lps_2,lps_3
Bpgm,282,246,188,52,52,41
Gm13860,0,0,0,0,0,0
Cald1,4,6,1,10,3,11
Gm13861,0,0,0,0,0,0
Npn2,0,0,0,0,0,0
Gm14547,0,0,0,0,0,0
Agbl3,60,50,58,14,13,7
Gm13864,0,3,2,2,0,2
Gm13862,0,0,0,0,0,0
Gm13863,0,0,0,0,0,0
Gm43748,0,0,0,0,0,0
Tmem140,209,122,131,203,231,178
Cyren,160,107,128,39,22,11
Wdr91,3387,2661,2549,482,438,425
Stra8,0,0,0,0,0,0
Slc23a4,0,4,0,3,0,0
Cnot4,865,526,570,751,704,606
Nup205,3944,2362,2464,2240,1901,1824
Gm23435,0,0,0,0,0,0
1810058I24Rik,2313,1483,1366,800,739,595
Slc13a4,3,0,0,0,0,0
Fam180a,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,0,0
Mtpn,14868,9554,9938,17468,15335,14956
ENSMUSG00002075316,1,0,0,0,0,0
Gm42931,0,0,0,0,0,0
Gm43442,0,2,0,0,2,2
Gm23273,0,0,0,0,0,0
Gm43443,0,0,0,0,0,0
9330158H04Rik,0,0,0,0,0,0
Chrm2,0,0,0,0,0,0
Mir490,0,0,0,0,0,0
Gm43441,0,0,0,0,0,0
Gm2189,0,0,0,0,0,0
ENSMUSG00002075886,0,0,0,0,0,0
Ptn,0,0,0,0,0,0
Dgki,5,3,10,1,2,0
1700111E14Rik,0,0,0,0,0,0
Gm7452,0,0,0,0,0,0
Creb3l2,523,345,358,109,96,86
Akr1d1,0,0,0,0,0,0
Gm7463,0,0,0,0,0,0
Ybx1-ps2,19,5,8,13,9,11
Atp6v0c-ps2,55,14,36,44,50,41
Gm7492,0,3,0,0,0,0
Trim24,678,530,480,109,84,117
Svopl,0,0,0,0,0,0
Atp6v0a4,0,0,0,0,2,0
Tmem213,0,0,0,0,0,0
Gm23231,0,0,0,0,0,0
D630045J12Rik,31,7,16,4,6,4
Gm7504,0,1,0,0,0,0
Zc3hav1l,112,101,112,23,21,17
Zc3hav1,5386,3412,3266,14204,13943,11581
Gm43578,0,0,0,0,0,0
Rpl30-ps1,6,6,2,5,8,8
Ttc26,20,24,38,4,1,6
Gm16563,0,0,0,0,0,0
Ubn2,1342,763,906,661,680,548
Mir7670,0,0,0,0,0,0
Fmc1,136,73,82,86,79,52
Gm15697,7,0,0,0,0,0
Luc7l2,4992,3432,3517,3304,3023,3069
Klrg2,26,7,8,51,33,68
Clec2l,0,2,0,1,1,0
Hipk2,1481,911,1149,2171,2268,2155
Tbxas1,4002,2629,2308,1806,1353,1214
Gm42962,4,2,0,3,0,4
Gm23010,0,0,0,0,0,0
1700025N23Rik,8,1,1,6,11,1
Parp12,2636,1511,1378,18641,18272,16758
4930599N23Rik,28,7,28,59,82,58
Gm42963,0,0,0,2,1,2
Kdm7a,2092,1312,1287,1231,1066,1129
Gm49041,13,10,6,26,37,1
Gm43479,0,0,0,0,0,0
Gm26008,0,0,0,0,0,0
Slc37a3,596,534,460,398,312,268
Rab19,148,85,88,64,48,63
Mkrn1,3461,2323,2300,1509,1405,1229
Gm10244,7,2,0,0,0,6
Gm25402,0,0,0,0,0,0
Dennd2a,64,113,47,96,45,49
8030453O22Rik,30,26,8,4,0,8
Adck2,423,233,240,190,211,176
Gm16272,0,2,0,0,0,0
Gm42420,0,0,0,0,0,0
Ndufb2,141,78,62,64,61,63
Braf,977,623,664,987,911,944
Fth-ps2,3,0,0,1,0,2
Mrps33,472,348,302,294,301,244
Gm7554,0,0,0,0,0,0
Gm7556,0,0,1,0,1,0
Tmem178b,0,0,0,0,0,0
Gm26833,0,0,0,0,0,0
Gm37995,0,0,0,0,0,0
Gm37673,0,0,0,0,0,0
Gm26638,0,0,0,0,0,0
Gm26807,0,0,0,0,0,0
Gm37003,0,0,0,0,0,0
Agk,548,453,373,405,401,357
Dennd11,163,129,140,74,59,53
Wee2,0,0,0,0,0,0
Ssbp1,575,389,373,409,367,343
Tas2r137,0,0,0,0,0,0
Tas2r108,0,0,0,0,0,0
Prss37,0,0,0,0,0,0
Gm43295,0,0,0,0,0,0
Olfr461,0,0,0,11,0,3
Olfr460,8,2,1,5,5,7
Clec5a,1226,796,933,3453,3299,2864
Tas2r138,0,0,0,0,0,0
Mgam,7,10,5,5,8,6
Mgam2-ps,0,0,0,0,0,0
Moxd2,0,0,0,0,0,0
Gm38276,0,0,0,0,0,0
Trbv1,0,0,0,0,0,0
Prss58,0,0,0,0,0,0
Prss59,0,0,0,0,0,0
Gm4744,0,0,0,0,0,0
Gm29588,0,0,0,0,0,0
1810009J06Rik,0,0,0,0,0,0
Gm2663,0,0,0,0,0,0
Gm38015,0,0,0,0,0,0
Gm37878,0,0,0,0,0,0
Gm38294,0,0,0,0,0,0
2210010C04Rik,0,1,0,0,0,0
Trbv2,0,0,0,0,0,0
Trbv3,0,0,0,0,0,0
5830405F06Rik,0,0,0,0,0,0
Trbv4,0,0,0,0,0,0
Trbv5,0,0,0,0,0,0
Trbv6,0,0,0,0,0,0
Trbv7,0,0,0,0,0,0
Gm49885,0,0,0,0,0,0
Trbv8,0,0,0,0,0,0
Trbv9,0,0,0,0,0,0
Trbv10,0,0,0,0,0,0
Trbv11,0,0,0,0,0,0
Trbv12-1,0,0,0,0,0,0
Trbv13-1,0,0,0,0,0,0
Trbv12-2,0,0,0,0,0,0
Trbv13-2,0,0,0,0,0,0
Trbv12-3,0,0,0,0,0,0
Trbv13-3,0,0,0,0,0,0
Trbv14,0,0,0,0,0,0
Trbv15,1,0,0,0,0,0
Trbv16,0,0,0,0,0,0
Trbv17,0,0,0,0,0,0
Trbv18,0,0,0,0,0,0
Trbv19,0,0,0,0,0,0
Trbv20,0,0,0,0,0,0
Trbv21,0,0,0,0,0,0
Trbv22,0,0,0,0,0,0
Trbv23,0,0,0,0,0,0
Trbv24,0,0,0,0,0,0
Trbv25,0,0,0,0,0,0
Trbv26,0,0,0,0,0,0
Gm2719,0,0,0,0,0,0
Trbv27,0,0,0,0,0,0
Trbv28,0,0,0,0,0,0
Trbv29,0,0,0,0,0,0
Trbv30,0,0,0,0,0,0
Try4,0,0,0,0,0,0
Gm18964,0,0,0,0,0,0
Try5,0,0,0,0,0,0
Try10,0,0,0,0,0,0
Prss3,0,0,0,0,0,0
Gm5771,0,0,0,0,0,0
Gm38306,0,0,0,0,0,0
Gm5409,0,0,0,0,0,0
Gm10334,0,0,0,0,0,0
Prss1,0,0,0,0,0,0
Gm37301,0,0,0,0,0,0
Gm29813,0,0,0,0,0,0
Gm37841,0,0,0,0,0,0
Gm38018,0,0,0,0,0,0
Prss2,0,0,0,0,0,0
Trbd1,0,0,0,0,0,0
Trbj1-1,0,0,0,0,0,0
Trbj1-2,0,0,0,0,0,0
Trbj1-3,0,0,0,0,0,0
Trbj1-4,2,0,0,0,0,0
Trbj1-5,0,0,0,0,0,0
Trbj1-6,4,0,0,0,0,0
Trbj1-7,0,0,0,0,0,0
Trbc1,0,0,1,0,0,0
Trbd2,0,0,0,0,0,0
Trbj2-1,0,0,0,0,0,0
Trbj2-2,0,0,0,0,0,0
Trbj2-3,0,0,0,0,0,4
Trbj2-4,0,0,0,0,0,0
Trbj2-5,0,0,0,0,0,0
Trbj2-6,0,0,0,0,0,0
Trbj2-7,0,0,0,0,0,0
Trbc2,2,1,1,2,0,0
Trbv31,0,0,0,0,0,0
Gm27549,0,0,0,0,0,0
Ephb6,35,26,38,6,11,9
Trpv6,0,2,0,0,0,0
Trpv5,0,0,0,0,0,0
Llcfc1,0,0,0,0,0,0
Kel,0,0,0,0,0,0
Gm37527,0,0,0,0,0,0
Olfr459,0,0,0,0,0,0
Pip,0,0,0,0,0,0
Sval2,0,0,0,0,0,0
Sval1,0,0,0,0,0,0
Sval3,0,0,0,0,0,0
Sva,0,0,0,0,0,0
Gm34701,0,0,0,0,0,0
Tas2r139,0,0,0,0,0,0
Tas2r144,0,0,0,0,0,0
Gstk1,154,119,146,88,105,77
Tmem139,0,0,0,0,0,2
Casp2,1506,918,970,488,569,504
ENSMUSG00002075822,0,0,0,1,2,1
Clcn1,3,1,1,3,7,9
Fam131b,0,0,1,2,3,3
Gm44284,0,1,0,9,9,4
U6|ENSMUSG00002076678.1,0,0,0,0,0,0
Zyx,2904,2007,1955,8245,7016,6178
Epha1,2,3,1,2,10,25
2010310C07Rik,2,0,0,1,0,0
Tas2r143,0,0,0,0,0,0
Tas2r135,0,0,0,0,0,0
Tas2r126,0,0,0,0,0,0
Gm44470,0,0,0,0,0,0
Olfr458,0,0,0,0,0,0
Olfr457,0,0,0,0,0,0
Olfr456,0,0,0,0,0,0
Gm4877,0,0,0,0,0,0
Olfr455,0,0,0,0,0,0
Tcaf3,0,0,0,0,0,0
Tcaf2,0,0,0,0,0,1
Tcaf1,33,36,15,11,7,15
Olfr454-ps1,0,0,0,0,0,0
Gm44030,0,0,0,0,0,0
Gm44032,0,0,0,0,0,0
Olfr453,0,0,0,0,0,0
Gm44034,0,0,0,0,0,0
Olfr38,0,0,0,0,0,0
Gm22363,0,0,0,0,0,0
Olfr452,0,0,0,0,0,0
Olfr451-ps1,0,0,0,0,0,0
Olfr450,0,0,0,0,0,0
U6|ENSMUSG00002075492.1,0,0,0,0,0,0
Olfr449,0,0,0,0,0,0
Olfr448,0,0,0,0,0,0
Olfr447,0,0,0,0,0,0
Olfr446,0,0,0,0,0,0
Olrf445-ps1,0,0,0,0,0,0
Olfr444,0,0,0,0,0,0
Gm17472,0,0,0,0,0,0
Olfr443-ps1,0,0,0,0,0,0
Gm20730,0,0,0,0,0,0
Olfr442-ps1,0,0,0,0,0,0
Olfr441,0,0,0,0,0,0
Olfr440-ps1,0,0,0,0,0,0
Olfr439-ps1,0,0,0,0,0,0
Olfr237,0,0,0,0,0,0
Olfr437,0,0,0,0,0,0
Olfr13,0,0,0,0,0,0
Olfr436-ps1,0,0,0,0,0,0
Olfr435,0,0,0,0,0,0
Gm21827,0,0,0,0,0,0
Olfr434,0,0,0,0,0,0
Olfr47,0,0,0,0,0,0
Gm44731,0,0,0,0,0,0
Arhgef5,5,0,2,1,4,1
Gm44253,0,0,0,0,0,0
Nobox,0,0,0,0,0,0
Tpk1,353,207,241,154,118,130
Gm15550,0,0,0,0,0,0
9430018G01Rik,0,0,3,0,0,0
Gm5990,0,0,0,0,0,0
Gm7783,0,0,0,1,0,0
Gm22939,0,0,0,0,0,0
Gm35216,0,0,0,0,0,0
Gm44211,0,0,0,0,0,0
Gm44212,0,2,0,0,0,0
Gm44213,0,0,0,0,0,0
Cntnap2,0,0,0,0,0,0
B230112I24Rik,0,0,0,0,0,0
Gm43879,0,0,0,0,0,0
Gm43872,0,0,0,0,0,0
Gm43885,0,0,0,0,0,0
Gm43889,0,0,0,0,0,0
Gm43874,0,0,0,0,0,0
Gm43869,0,0,0,0,0,0
6330419E04Rik,0,0,0,0,0,0
Gm43882,0,0,0,0,0,0
Gm43884,0,0,0,0,0,0
Gm43880,0,0,0,0,0,0
Gm43876,0,0,0,0,0,0
Gm43886,0,0,0,0,0,0
7SK|ENSMUSG00002076345.1,0,0,0,0,0,0
Gm43871,0,0,0,0,0,0
Gm43873,0,0,0,0,0,0
Gm43877,0,0,0,0,0,0
Gm43888,0,0,0,0,0,0
Gm43887,0,0,0,0,0,0
Gm43870,0,0,0,0,0,0
Gm43881,0,0,0,0,0,0
Gm25161,0,0,0,0,0,0
Gm43875,0,0,0,0,0,0
Rbpj-ps3,45,15,22,37,27,22
Gm18484,0,0,0,0,0,0
Gm35931,0,0,0,0,0,0
Gm43883,0,0,0,0,0,0
Gm6352,3,4,5,1,1,4
Gm18584,5,2,2,5,3,7
Cul1,3842,2553,2569,4582,3586,3373
A930035D04Rik,3,4,3,18,16,5
Ezh2,1270,1017,857,400,333,277
Gm44282,0,0,0,0,0,0
Gm44141,8,0,6,0,3,2
Gm25283,0,0,0,0,0,0
Rny3,0,0,0,0,0,0
Rpl31-ps7,0,0,0,0,0,0
Rny1,0,0,0,0,0,0
Pdia4,2557,1665,1539,834,735,681
Mir704,0,0,0,0,0,0
Rpl35a-ps7,1,3,0,1,4,0
Zfp786,14,1,4,1,1,0
Zfp398,373,256,310,22,8,33
Gm44041,0,0,0,0,0,0
Zfp282,862,572,566,261,246,185
Zfp212,507,360,301,469,421,305
Zfp783,66,68,61,12,13,6
Zfp956,168,134,127,23,27,27
Gm6443,0,0,0,0,0,0
Zfp777,745,514,462,382,333,295
Gm45738,15,6,6,0,4,0
ENSMUSG00002075679,0,0,0,0,0,0
Zfp746,965,580,615,427,421,345
Gm16630,0,0,0,0,0,0
Gm22122,0,0,0,0,0,0
Gm16630|ENSMUSG00000107875.2,0,0,0,0,0,0
Gm7880,0,0,0,0,0,0
Krba1,104,53,50,42,28,20
ENSMUSG00002076877,0,0,0,0,0,0
Zfp467,289,244,198,134,87,102
Sspo,0,1,0,0,0,0
Zfp862-ps,205,91,95,16,15,9
Gm10243,21,6,18,13,8,14
Gm7887,6,5,7,9,15,6
1700026J14Rik,0,0,0,0,0,0
Atp6v0e2,1,5,2,3,0,4
Lrrc61,347,188,246,146,200,134
Gm53041,2,0,0,2,2,0
Rarres2,0,0,0,0,0,0
Gm5111,0,0,0,0,0,0
Gm45021,0,0,0,0,0,0
Repin1,495,318,366,144,133,113
Gm44965,0,0,0,0,0,0
Zfp775,124,88,106,20,27,14
Gm38804,0,2,0,0,0,0
AI854703,11,4,0,5,0,0
Gimap8,2,0,1,1,0,0
Gm44262,0,0,0,0,0,0
Gimap9,0,0,1,8,4,6
Gimap4,0,0,0,8,0,1
Gimap6,8,4,2,4,11,4
Gm28053,0,0,0,0,0,0
Gimap7,0,0,0,0,0,0
Gimap1os,3,0,0,0,0,0
Gimap1,3,2,0,3,0,9
Gimap5,0,0,0,5,1,4
Gm44226,0,0,0,0,0,0
4833403J16Rik,0,0,0,0,0,0
Gimap3,2,2,0,9,1,0
Gm30781,0,0,0,0,0,0
Gm17834,0,0,0,0,0,0
Tmem176b,4118,2056,2352,8967,8019,7370
Tmem176a,2022,928,1025,5084,4302,4488
Gm44764,0,0,0,14,3,23
Gm7932,0,0,0,3,0,7
Aoc1,0,0,0,0,1,0
Aoc1l2,0,0,0,0,0,0
Gm24348,0,0,0,0,0,0
Gm10242,0,0,0,0,0,0
Gm18538,0,0,0,0,0,0
Gm19172,0,0,0,0,0,0
Aoc1l1,0,0,0,0,0,0
Gm18539,0,0,0,0,0,0
4930563H07Rik,0,0,0,0,0,0
Aoc1l3,0,0,0,0,0,0
Gm19173,0,1,0,0,0,0
Gpnmb,149293,97239,98221,73651,68705,53801
Gm19253,143,64,61,33,8,16
Malsu1,271,166,170,273,251,207
Gm7890,2,13,7,6,1,4
Igf2bp3,22,21,5,27,22,7
Gm18010,0,0,0,0,0,0
Tra2a,2418,1677,1493,6045,5958,5101
Gm43980,117,72,66,98,108,71
Gm18011,0,0,0,0,0,0
Ccdc126,175,140,145,146,136,110
Fam221a,26,39,16,51,50,46
Stk31,0,0,0,0,1,0
Gm17060,5,3,0,1,2,3
Gm5305,0,0,1,0,0,0
Gm44219,0,0,0,0,0,0
Npy,1095,748,798,1147,1254,1128
Gm18007,0,0,0,0,0,0
Gm3455,0,0,0,0,0,0
Pals2,3000,1956,1782,1481,1208,1135
Gsdme,1064,786,758,91,96,78
Osbpl3,3288,2384,2010,1974,1661,1458
Gm26289,0,0,0,0,0,0
Cycs,2386,1598,1618,4219,4281,3685
5430402O13Rik,15,2,2,3,7,1
Mir6371,0,0,0,0,0,0
4921507P07Rik,6,7,13,1,0,0
Gm44054,0,0,0,0,0,0
Gm4782,0,0,0,0,0,0
Gm8035,0,0,0,0,0,0
Gm8038,0,0,0,0,0,0
Gm8039,0,0,0,0,0,0
Gm18765,0,0,0,0,0,0
Npvf,1,4,1,0,0,0
Gm3017,0,0,0,0,0,0
C530044C16Rik,0,0,0,0,0,0
Gm44109,0,0,0,0,0,0
ENSMUSG00000118645,0,2,0,0,0,0
G930045G22Rik,0,0,0,0,0,0
Gm31579,0,0,0,0,0,0
Gm44402,0,0,0,0,0,0
Mir148a,0,0,0,0,0,0
Gm32479,0,0,0,0,0,0
Gm6559,0,0,0,0,0,0
0610033M10Rik,0,0,0,0,0,0
Nfe2l3,0,0,1,1,1,4
Hnrnpa2b1,25278,17824,17489,19404,17546,16863
Cbx3,1908,1375,1338,343,297,310
Snx10,2995,1959,1895,17005,15975,14786
ENSMUSG00002076122,0,0,0,0,0,0
Gm38811,0,0,0,0,0,0
Skap2,7926,5006,5140,4706,4128,3941
Gm44077,0,0,0,1,0,0
Halr1,0,0,0,0,0,0
Rps8-ps3,0,0,0,0,0,0
Rps19-ps14,0,0,0,0,0,0
Hoxa1,100,66,96,7,0,3
Hotairm1,102,47,61,21,13,25
ENSMUSG00002076637,0,0,0,0,0,0
ENSMUSG00002075344,8,3,5,0,0,1
ENSMUSG00002074924,0,0,0,0,0,0
ENSMUSG00002075580,20,17,9,2,7,6
Hoxa2,4,1,6,1,2,0
Gm28308,0,0,0,0,0,0
Hoxaas2,0,1,4,1,1,3
Hoxa3,2,0,3,2,0,2
Gm15050,5,12,7,1,0,2
Hoxaas3,9,2,5,0,2,1
5730596B20Rik,0,0,0,0,0,0
Gm29430,0,0,0,0,0,0
Hoxa4,30,28,20,4,2,6
Hoxa5,5,6,1,3,0,0
Hoxa6,2,2,0,0,0,0
Hoxa7,1,2,10,0,0,6
Hoxa9,0,0,0,0,0,0
Mir196b,0,0,0,0,0,0
Hoxa10,0,0,0,0,0,0
Hoxa11,0,0,0,0,0,0
Hoxa11os,0,0,0,0,0,0
ENSMUSG00002075397,0,0,0,0,0,0
ENSMUSG00002075448,0,0,0,0,0,0
ENSMUSG00002075224,0,0,0,0,0,0
ENSMUSG00002076021,0,0,0,0,0,0
ENSMUSG00002076839,0,0,0,0,0,0
ENSMUSG00002076652,0,0,0,0,0,0
9530018H14Rik,0,0,0,0,0,0
Hoxa13,0,0,0,4,0,1
ENSMUSG00002076831,0,0,0,0,0,0
ENSMUSG00002076776,0,0,0,0,0,0
Hottip,0,0,0,0,1,0
ENSMUSG00002076186,0,0,0,0,0,0
ENSMUSG00002075330,0,0,0,0,0,0
Gm44294,0,0,0,0,0,0
Evx1os,0,0,0,0,0,0
Evx1,0,0,0,0,0,0
Gm8129,18,5,6,9,8,8
Gm15054,0,0,0,0,0,0
1700094M24Rik,0,0,0,0,0,0
Gm44028,0,0,0,0,0,0
Hibadh,1440,900,873,2181,1665,1631
Gm44445,0,0,2,0,0,0
Gm44434,5,0,0,2,2,1
Gm24355,0,0,0,0,0,0
Gm43966,0,0,0,3,0,6
Tax1bp1,5112,3308,3249,24343,20949,21045
Gm43967,0,0,0,0,0,0
Jazf1,50,30,56,40,43,59
Gm15572,0,0,0,0,0,0
ENSMUSG00002075761,0,0,0,0,0,0
Gm15573,0,0,0,0,0,0
Gm8143,0,0,0,0,0,0
Gm4872,0,0,0,0,0,0
Creb5,796,416,650,1999,2064,1703
Gm25818,0,0,0,0,0,0
Gm44080,0,0,0,2,0,0
Gm5306,0,0,0,0,0,0
Tril,0,0,0,10,0,2
Gm16499,0,0,0,0,0,0
Gm16499|ENSMUSG00000108255.2,0,0,0,0,0,0
Gm22910,0,0,0,0,0,0
Cpvl,0,0,0,0,0,0
4921529L05Rik,2,2,3,45,48,80
Chn2,429,268,313,80,71,55
9530036M11Rik,0,0,0,0,0,0
Gm15526,2,1,0,2,2,1
Gm15527,0,0,0,0,0,0
9130019P16Rik,0,0,0,0,0,0
Prr15,47,14,21,2,6,7
Wipf3,0,0,0,0,0,0
Gm44026,0,0,0,0,0,0
Scrn1,0,0,1,0,0,0
Fkbp14,10,15,6,4,0,5
Plekha8,364,229,238,87,135,131
Gm28402,0,0,0,0,0,0
Mturn,64,38,34,40,30,23
Gm44008,1,4,0,2,0,2
Znrf2,2875,2245,2216,1121,1086,899
Gm44185,0,0,0,0,0,0
Nod1,114,118,103,5388,5523,4502
Gm24230,0,0,0,0,0,0
Ggct,92,50,59,465,406,375
Gars,4479,2574,2839,3521,3393,2940
Crhr2,0,0,0,0,0,0
Gm34358,0,0,0,0,0,0
Inmt,0,0,0,0,0,0
Mindy4,30,25,26,6,6,3
Gm44073,0,0,0,0,0,0
ENSMUSG00002076023,0,0,0,0,0,0
Aqp1,6,4,0,1,1,1
Ghrhr,0,0,0,0,0,0
6430584L05Rik,0,0,0,0,0,0
Adcyap1r1,0,0,0,0,0,0
ENSMUSG00002076548,0,0,0,0,0,0
Neurod6,0,0,0,0,0,0
Gm3279,0,0,0,0,0,0
Itprid1,0,0,0,0,0,0
Ppp1r17,0,0,0,0,0,0
Pde1c,13,14,21,16,3,1
ENSMUSG00002076183,0,0,0,0,0,0
Gm24709,0,0,0,0,0,0
Gm22493,0,0,0,0,0,0
Lsm5,258,249,241,155,177,139
Avl9,1088,765,832,710,677,560
Kbtbd2,1887,1084,1150,1788,1608,1331
Gm10209,3,0,1,2,0,0
Fkbp9,289,218,166,390,320,283
Nt5c3,720,467,479,10611,9403,8369
Gm3793,0,0,0,0,0,1
Vmn1r4,3,0,1,0,0,1
Gm44049,0,0,0,0,0,0
Vmn1r5,0,0,0,0,0,0
Vmn1r6,0,0,0,0,0,0
Vmn1r7,0,0,0,0,0,0
Vmn1r8,0,0,0,0,0,0
Vmn1r9,0,0,0,0,0,0
Vmn1r10,0,0,0,0,0,0
Vmn1r11,0,0,0,0,0,0
Vmn1r12,0,0,0,0,0,0
Vmn1r-ps8,0,0,0,0,0,0
Vmn1r13,0,0,0,0,0,0
Vmn1r14,0,0,0,0,0,0
Vmn1r15,0,0,0,0,0,0
Vmn1r-ps9,0,0,0,0,0,0
Vmn1r-ps10,0,0,0,0,0,0
Vmn1r16,0,0,0,0,0,0
Vmn1r17,0,0,0,0,0,0
Vmn1r18,0,0,0,0,0,0
Vmn1r19,0,0,0,0,0,0
Vmn1r20,0,0,0,0,0,0
Vmn1r-ps11,0,0,0,0,0,0
4930533I22Rik,0,0,0,1,0,0
Gm45193,0,0,0,0,0,0
Ppm1k,201,126,131,1821,1853,1549
Metazoa_SRP|ENSMUSG00002076654.1,0,0,0,0,0,0
Herc6,356,261,181,6864,5795,6109
Gm19244,0,0,0,1,5,2
Gm37397,2,5,5,1,3,0
Pyurf,240,136,184,196,204,160
Gm26712,0,0,0,0,0,0
Lancl2,864,559,567,1815,1809,1612
Vopp1,972,684,682,2212,2093,1732
Vmn1r21,0,0,0,0,0,0
Gm44114,0,0,0,0,0,0
Gm25726,0,0,0,0,0,0
Vmn1r-ps12,0,0,0,0,0,0
Vmn1r22,0,0,0,0,0,0
Vmn1r23,0,0,0,0,0,0
Gm20660,0,0,0,0,0,0
Vmn1r24,0,0,0,0,0,0
Vmn1r25,0,0,0,0,0,0
Vmn1r-ps13,0,0,0,0,0,0
Vmn1r26,0,0,0,0,0,0
Rps15-ps2,31,16,14,27,26,6
Vmn1r-ps14,0,0,0,0,0,0
Vmn1r-ps15,0,0,0,0,0,0
Gm6695,1,0,0,2,0,1
Vmn1r-ps16,0,0,0,0,0,0
Vmn1r-ps17,0,0,0,0,0,0
Gm20718,0,0,0,0,0,0
Gm43994,0,0,0,0,0,0
Vmn1r-ps18,0,0,0,0,0,0
Vmn1r27,0,0,0,0,0,0
Vmn1r-ps19,0,0,0,0,0,0
Vmn1r28,0,0,0,0,0,0
Vmn1r29,0,0,0,0,0,0
Gm20674,0,0,0,0,0,0
Vmn1r-ps20,0,0,0,0,0,0
Vmn1r30,0,0,0,0,0,0
Gm44016,0,0,0,0,0,0
Vmn1r-ps21,0,0,0,0,0,0
Gm35077,0,0,0,0,0,0
Gm20673,0,0,0,0,0,0
Vmn1r31,0,0,0,0,0,0
Vmn1r-ps22,0,0,0,0,0,0
Vmn1r-ps23,0,0,0,0,0,0
Gm20672,0,0,0,0,0,0
Abcg2,351,316,212,254,157,134
Gm43899,0,0,0,0,0,0
Herc3,2830,1985,1908,448,454,359
Nap1l5,8,15,3,2,0,0
Fam13a,9,9,11,0,0,0
Gm45060,0,0,0,0,0,0
BB365896,0,0,0,0,0,0
Gm45061,0,0,0,0,0,0
Gm19165,0,0,0,0,0,0
Gm22367,0,0,0,0,0,0
Gm43905,0,0,0,0,0,0
Tigd2,456,305,278,150,128,122
Gprin3,0,5,2,0,0,0
Gm22622,0,0,0,0,0,0
Gm18012,0,0,0,0,0,0
Gm5570,0,0,0,0,0,0
Gm22723,0,0,0,0,0,0
n-R5s162,0,0,0,0,0,0
A530053G22Rik,0,0,0,0,0,0
Gm44389,2,3,2,1,3,1
Gm44410,0,0,0,0,0,0
Gm35386,0,0,0,0,0,0
Snca,8,1,1,2,5,8
Mageb16-ps2,0,0,0,0,0,0
Gm43864,0,0,0,0,0,0
Gm43867,0,0,0,0,0,0
Mmrn1,45,5,4,24,3,13
Gm18838,0,0,0,0,0,0
Gm43892,0,0,0,0,0,0
Gm43893,0,0,0,0,0,0
Gm43894,0,0,0,0,0,0
A730020E08Rik,0,0,0,2,0,2
Ccser1,0,0,2,0,4,1
Gm43898,0,0,0,0,0,0
Gm43896,0,0,0,0,0,0
Gm43897,0,0,0,0,0,0
Gm43895,0,0,0,0,0,0
Gm19237,0,0,0,0,0,0
Gm44088,0,0,0,0,0,0
Gm44092,0,0,0,0,0,0
Gm18540,0,0,0,0,0,0
Gm5001,0,0,0,0,0,0
Gm19131,0,0,0,0,0,0
Nasp-ps1,0,0,0,0,0,0
Gm22212,0,0,0,0,0,0
9330118I20Rik,0,0,0,0,0,0
Grid2,0,0,0,0,1,0
Gm44071,0,0,0,0,0,0
Gm44075,0,0,0,0,0,1
Gm44072,0,0,0,0,0,0
Gm20144,0,0,0,0,0,0
Gm25205,0,0,0,0,0,0
Atoh1,0,0,0,0,0,0
Gm18839,0,0,0,0,0,0
Gm44038,0,0,0,0,0,0
Gm15534,0,0,0,0,0,0
Smarcad1,1743,1172,1071,889,755,659
Hpgds,6842,4698,4602,1382,1215,1200
Gm17147,90,70,60,0,4,10
Gm44419,7,0,1,0,0,0
Gm3549,8,0,0,0,0,0
Gm44058,0,0,0,0,0,0
Gm44059,0,0,0,0,0,0
Gm20177,0,0,0,0,0,0
Gm44060,0,0,0,0,0,0
Gm44061,0,0,0,0,0,0
Gm8479,0,0,0,0,0,0
Qrfprl,0,0,0,0,0,0
Gm18716,0,0,0,0,0,0
Gm18913,2,3,1,0,0,0
Tnip3,6405,4366,3925,43812,40013,35738
Ndnf,90,106,64,16,27,18
Gm15490,0,0,0,0,0,0
Gm16838,0,0,0,0,0,0
Prdm5,9,7,3,3,4,2
U6|ENSMUSG00002075239.1,0,0,0,0,0,0
Gm20445,0,0,0,0,0,0
4930544G11Rik,0,0,0,0,0,0
Gm44404,0,0,0,0,0,0
Gm23625,0,0,0,0,0,0
Gm5876,0,0,0,0,0,0
Gm44289,0,0,0,0,0,0
Gm31520,2,0,0,4,0,0
Gm44281,0,0,0,0,0,0
Gm44233,0,0,0,0,0,0
2610300M13Rik,0,0,0,0,0,0
Gm19764,0,0,0,0,0,0
Gm6786,0,0,0,0,0,0
Mad2l1,1430,1146,1034,594,476,503
Vmn1r32,1,0,0,0,0,0
Gm5307,0,0,0,0,0,0
Vmn1r33,0,0,0,0,0,0
Vmn1r34,0,0,0,0,0,0
Vmn1r35,0,0,0,0,0,0
Gm6794,0,1,1,0,1,1
Vmn1r36,0,0,0,0,0,0
Vmn1r37,0,0,0,0,0,0
Gm44261,0,0,0,0,0,0
Gm4045,15,14,17,19,15,18
Vmn1r-ps24,0,0,0,0,0,0
Vmn1r38,0,0,0,0,0,0
Vmn1r39,0,0,0,0,0,0
Gm9794,152,91,87,112,139,87
